Ticker,Nome,Setor,SubSetor,Segmento,Cotacao,Variacao,Abertura,Maxima,Minima,Fechamento_Anterior,Volume,Volume_Medio,Maxima_52s,Minima_52s,Market_Cap,PE,EPS,DY,DY_12m,PL,PVP,PSR,PAtivo,PCapGiro,PAtivoCircLiq,PEBIT,PEBITDA,EV_EBIT,EV_EBITDA,LPA,VPA,Patrimonio,Lucro_Liquido,EBIT,Receita_Liquida,ROE,ROA,ROIC,GiroAtivos,MargemBruta,MargemEBITDA,MargemEBIT,MargemLiquida,DivLiquida_PL,DivLiquida_EBIT,DivLiquida_EBITDA,LiquidezCorrente,Passivos_Ativos,PL_Ativos,CAGR_Receitas_5a,CAGR_Lucros_5a,Qtd_Acoes,Dividendo_Medio_12m,Dividendo_Total_12m,Dividendo_Ultimo,Qtd_Dividendos_12m,Graham,Graham_BR,Bazin,Lynch,Lynch_Preco_Teto,Lynch_Mod,AGF,Upside_Graham,Upside_Graham_BR,Upside_Bazin,Upside_Lynch_Preco_Teto,Upside_AGF,Score_CS,Score_CS_Classificacao,ROE_15pct,DY_3pct,DivPL_0_5,PL_15,PVP_2,Margem_10pct,LiqCorrente_1,CAGR_5pct,ROIC_10pct,Beta,Media_50d,Media_200d,FCO,FCL
AGRO3,BrasilAgro - Companhia Brslr d Prprd Agr,Consumo não Cíclico,Agropecuária,Agricultura,18.64,0.0,18.85,19.14,18.52,18.64,147900,240093,22.75,18.52,1942921696,0.0,-0.16,3.73,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,102683444,2.19,8.7599,0.7529,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,,
AGXY3,Agrogalaxy Participacoes SA em Recupera,Consumo não Cíclico,Agropecuária,Agricultura,2.0,0.0,2.02,2.06,2.0,2.0,19500,22417,9.5,2.0,38512020,0.0,-58.12,0.0,125.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,18969571,2.518,2.518,2.518,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,,
AHEB3,Sao Paulo Turismo SA,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,23.9,0.0,24.0,24.0,23.9,23.9,200,143,45.0,21.5,211681484,5.21,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,8407877,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,,
AHEB5,Sao Paulo Turismo Class Pref Shs Class A,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,58.0,0.0,0.0,0.0,0.0,58.0,0,0,58.0,50.0,211681484,12.64,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,45022,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,,
AHEB6,Sao Paulo Turismo Class Pref Shs Class B,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,55.0,0.0,0.0,0.0,0.0,55.0,0,0,55.0,55.0,211681484,11.98,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,90995,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,,
ALLD3,Allied Tecnologia SA,Consumo Cíclico,Comércio,Eletrodomésticos,5.81,0.0,5.81,5.86,5.76,5.81,237800,488873,8.23,4.72,565955464,1.69,3.43,14.83,63.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,95961536,0.9263,3.7052,0.4208,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,,
ALOS3,Allos SA,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,28.64,0.0,28.75,28.86,28.35,28.64,2895000,5658343,33.87,19.31,14658077703,16.69,1.72,5.66,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,504190947,0.2449,0.9796,0.2925,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,,
ALPA3,Alpargatas SA,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,9.71,0.0,9.9,9.9,9.71,9.71,200,52180,13.49,6.16,7297046313,10.85,0.89,4.54,17.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,339510689,0.4234,1.6935,0.3428,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,,
ALPA4,Alpargatas SA Preference Shares,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,11.3,0.0,11.29,11.37,11.15,11.3,1193500,2290110,16.22,7.09,7297046313,12.63,0.89,4.18,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,343551533,0.4344,1.7376,0.3771,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Pessimo,0,1,0,0,0,0,0,0,0,0,0,0,,
ALPK3,Allpark Empreendimentos Prtcpcs Srvcs SA,Bens Industriais,Serviços,Serviços Diversos,4.17,0.0,4.12,4.22,4.12,4.17,57100,109233,5.54,2.79,928314157,70.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,219305733,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0,0,0,0,0,0,0,0,0,0,0,0,,
