2026-05-29T02:14:13.733371|TOKY3|Falha API
2026-05-29T02:14:19.205402|TOYB3|Falha API
2026-05-29T02:14:21.453241|TOYB4|Falha API
2026-05-29T02:14:32.752653|TRPL3|Falha API
2026-05-29T02:14:35.002747|TRPL4|Falha API
2026-05-29T02:15:24.316529|VIIA3|Falha API
2026-05-29T02:15:32.858907|VIVR3|Falha API
2026-05-29T02:15:44.860587|VSPT3|Falha API
2026-05-29T02:15:46.920866|VSPT4|Falha API
2026-05-29T02:15:57.645830|VVAR3|Falha API
2026-05-29T02:16:06.225758|WEST3|Falha API
2026-05-29T02:16:17.173295|WIZS3|Falha API
2026-05-29T02:16:25.242970|WSON33|Falha API
